spatial,kinetic,categorical
10.067500070694184,1.3565156988348852,100.0
3.5273320733795512,1.800040856946266,100.0
10.163608359995681,1.160830248574645,100.0
10.283766576016111,2.9740277588832917,100.0
7.052703988347521,1.4133416861195363,100.0
6.72792596696483,2.0653147031567616,100.0
7.890802045617954,2.204390389007615,100.0
5.6339578893631765,2.093139786948143,100.0
7.860427056623919,1.0539801056130218,100.0
10.52520794806484,2.3676896286865614,100.0
5.795969968070798,2.6135807272057847,4.0
8.572349627900019,2.702675988403041,100.0
8.643444462868324,1.0418492199225773,100.0
5.842499609708594,2.2186202090559597,100.0
7.322372920347058,1.3234710009835053,100.0
8.201421885341214,1.6637472273919787,100.0
4.325679348724886,1.0339313076503036,3.0
6.817737746005931,1.9079506697536386,100.0
10.085458468675604,0.9886676916669118,100.0
6.863645924743387,2.007785568156316,100.0
6.962435101051017,2.0668884418919116,100.0
7.13348072225662,1.3072773938695117,100.0
8.31387817913005,1.5317193954962638,100.0
3.9382670700261353,3.7228506782176756,100.0
7.685989148825907,1.0260340064913922,100.0
8.452305419714278,2.082361375663504,100.0
9.4491211730808,1.997727764783388,100.0
6.2875615894718315,1.3810737925843126,100.0
3.7509427324461866,0.4467098153692989,100.0
3.495970515998608,1.7907428816396345,100.0
3.5202019517682355,2.280616834283433,100.0
8.915824908966542,0.7826856074054508,100.0
9.619370402279268,1.8185542804872643,100.0
4.7951936454591,1.3416381962984973,100.0
5.551576165837481,2.0810619564899606,100.0
9.900661249246449,2.5783692050069753,100.0
2.274683674393102,1.8998427361676435,100.0
2.8005229777459992,1.06486101431904,2.0
2.7537149589936023,2.103706790701272,100.0
6.014767002258999,1.1186771697444469,100.0
8.278401187119696,2.5515644618593085,100.0
8.54665116367507,1.641789067935467,100.0
7.502990584443736,1.8250033891669841,100.0
6.965882837851259,2.2936320128296335,100.0
4.359278905532369,1.570254395245415,100.0
2.316714020708601,1.212737009468984,100.0
6.376216774092918,1.7406373626520673,100.0
9.263452238026348,2.110572101850366,100.0
10.151689996760641,1.9649362789990288,100.0
10.654981325982714,1.4347103010058786,100.0
5.044455869881989,1.4529774904674826,100.0
6.072133804179578,2.372947740554669,100.0
6.8908152513253516,0.8628869740289974,100.0
8.06867239980354,1.0017185370419144,100.0
9.521883020866907,1.5778243788695723,100.0
4.937945450017122,1.814528687024867,100.0
7.589774947930446,1.349231606339851,100.0
8.23191157344972,1.1761489647403325,100.0
5.947624985376263,2.2861879614036598,100.0
8.597824089803378,1.8673396093718682,100.0
8.590264720503981,0.10889850460089912,100.0
6.271691848802857,1.4960983094241436,6.0
8.834035653998987,2.0457168941652037,100.0
7.29277966024482,1.2375506001788723,100.0
2.80038346733518,0.9012869889264052,100.0
5.477068668040711,1.1339152740522165,5.0
8.571642999699796,1.2886601017352837,100.0
