voltage_V,current_A
-0.3,-9.99990863551061e-13
-0.29,-9.999865490946396e-13
-0.27999999999999997,-9.999801972455357e-13
-0.27,-9.999708458966988e-13
-0.26,-9.99957078610411e-13
-0.25,-9.999368100721462e-13
-0.24,-9.999069702304511e-13
-0.22999999999999998,-9.998630392798938e-13
-0.21999999999999997,-9.997983630514945e-13
-0.21,-9.997031451136424e-13
-0.19999999999999998,-9.995629629182173e-13
-0.19,-9.993565832343311e-13
-0.18,-9.990527459760279e-13
-0.16999999999999998,-9.98605429274137e-13
-0.15999999999999998,-9.979468785983308e-13
-0.15,-9.969773440587724e-13
-0.13999999999999999,-9.955499714086024e-13
-0.12999999999999998,-9.93448558205333e-13
-0.12,-9.903548058832967e-13
-0.10999999999999999,-9.858001074473998e-13
-0.09999999999999998,-9.790945681273328e-13
-0.09,-9.692225078349126e-13
-0.07999999999999999,-9.546886173057017e-13
-0.06999999999999998,-9.332914653781265e-13
-0.06,-9.017900508262876e-13
-0.04999999999999999,-8.554128917480287e-13
-0.03999999999999998,-7.871352948600957e-13
-0.02999999999999997,-6.866153335376592e-13
-0.019999999999999962,-5.386273684537576e-13
-0.010000000000000009,-3.207558380477301e-13
0.0,0.0
0.010000000000000009,4.722246520688821e-13
0.020000000000000018,1.1674454261593415e-12
0.030000000000000027,2.1909665884057264e-12
0.040000000000000036,3.697819675379049e-12
0.050000000000000044,5.916245937067269e-12
0.06,9.182267768321658e-12
0.07,1.3990585622489548e-11
0.08000000000000002,2.106950970237846e-11
0.09000000000000002,3.1491276242914957e-11
0.10000000000000003,4.683445786199942e-11
0.11000000000000004,6.942306808278566e-11
0.12,1.0267857690580212e-10
0.13,1.5163815681214146e-10
0.14,2.2371765730519042e-10
0.15000000000000002,3.2983487483986816e-10
0.16000000000000003,4.86063258503377e-10
0.17000000000000004,7.160665362856708e-10
0.18,1.054683031893407e-09
0.19,1.553202584324295e-09
0.2,2.28713535895139e-09
0.21000000000000002,3.3676492827187195e-09
0.22000000000000003,4.9584085181926555e-09
0.23000000000000004,7.300363480163631e-09
0.24000000000000005,1.0748247309212361e-08
0.25000000000000006,1.5824306879807506e-08
0.26000000000000006,2.329740691500793e-08
0.2700000000000001,3.429948901420678e-08
0.27999999999999997,5.049702550473281e-08
0.29,7.434343802887093e-08
0.3,1.0945071441031104e-07
