cluster_temp,cluster_size
3.3927336256642544,6
2.621062875035957,8
1.7889644803650715,4
2.2237219717972767,14
1.651337862542688,13
2.9258281432587876,4
1.8343345435422438,36
1.7028238977628534,3
1.8128556058892862,11
2.1636733146133804,7
1.2007632327606172,2
1.2828134451908075,2
1.9116281286798522,2
1.6368644747376233,2
1.8383541629970708,7
1.2385367022451848,8
0.9907531301460398,2
2.105373037605063,3
1.9682977711613194,4
2.0655720109758793,2
2.8237364819190565,6
0.794110772668796,2
1.9992720198443574,2
1.5157423442745732,3
0.7232346837465532,2
3.399763872617958,2
0.7658669509920539,2
1.5876882652512172,4
4.24087021243952,2
0.9296299863320283,2
0.731447196075235,2
1.2410742583657206,6
1.369315332546759,5
2.3584924263075426,2
