trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
46,9.12130497303897,1564.313315663988,104.0,2.08,0.27899999999999997,0.02101010101010101
47,1.1399810215256734,158.84546685527573,131.0,2.62,0.28830158730158734,0.026464646464646465
48,3.817297132493966,590.481310961286,147.0,2.94,0.4065714285714286,0.029696969696969697
49,5.021739895327355,659.8601490921205,158.0,3.16,0.39673809523809517,0.03191919191919192
50,8.780843579531837,1290.4034525521452,128.0,2.56,0.4073333333333333,0.02585858585858586
51,7.413032081094555,1209.8880655200778,119.0,2.38,0.3366666666666667,0.02404040404040404
52,2.358918504343911,338.6233162307086,120.0,2.4,0.3063809523809524,0.024242424242424242
53,4.752445174669925,786.4255176087951,109.0,2.18,0.35738095238095235,0.02202020202020202
54,5.38107025922509,782.845366165217,132.0,2.64,0.355,0.02666666666666667
55,3.8106553236158,491.54417029098323,119.0,2.38,0.3173333333333333,0.02404040404040404
56,9.689345606697156,1524.650776162803,127.0,2.54,0.38285714285714284,0.025656565656565655
57,3.2775227380543153,469.7500484440351,127.0,2.54,0.2795238095238095,0.025656565656565655
58,0.1983435673427313,27.607963807882633,118.0,2.36,0.2854285714285714,0.02383838383838384
59,6.964137628007447,822.1452150850386,133.0,2.66,0.34985714285714287,0.026868686868686868
60,5.873259604959932,876.4180407587128,135.0,2.7,0.3517619047619048,0.02727272727272727
61,7.424461150361618,1193.48460105445,147.0,2.94,0.4733253968253968,0.029696969696969697
62,7.480973164058241,986.4256081488454,157.0,3.14,0.42992063492063487,0.03171717171717172
63,8.258983340478956,1197.677868095377,151.0,3.02,0.4016507936507937,0.030505050505050504
64,9.474776715396944,1384.518802679413,124.0,2.48,0.396,0.025050505050505052
65,0.2721725042706195,38.81032380638912,127.0,2.54,0.395547619047619,0.025656565656565655
66,1.237849071569187,198.03504034808435,135.0,2.7,0.3821904761904762,0.02727272727272727
67,0.49519171251335203,78.03479263404782,142.0,2.84,0.45804761904761904,0.028686868686868688
68,2.5802379709346766,392.30933559691704,127.0,2.54,0.3248809523809524,0.025656565656565655
69,3.8205655029998127,531.2505386435624,114.0,2.28,0.40299999999999997,0.02303030303030303
70,8.105007924137851,1238.2873405960004,117.0,2.34,0.259,0.023636363636363636
71,8.481114680096312,1266.6285263402642,132.0,2.64,0.4446666666666666,0.02666666666666667
72,6.4142454152999795,960.187272589442,155.0,3.1,0.41680952380952385,0.031313131313131314
73,6.744879980878375,1118.6879991341239,126.0,2.52,0.4443333333333333,0.025454545454545455
74,1.6422605274388204,262.79607182227744,114.0,2.28,0.33661904761904765,0.02303030303030303
